x,y,z
0,1,0.00173
0,0.99628,0.00202
0,0.99003,0.00251
0,0.98303,0.00305
0,0.97544,0.00368
0,0.96743,0.00443
0,0.95904,0.00533
0,0.95028,0.00635
0,0.9412,0.00744
0,0.93192,0.00855
0,0.92252,0.00968
0,0.91305,0.0108
0,0.90353,0.01191
0,0.89398,0.01302
0,0.88441,0.01413
0,0.87484,0.01523
0,0.86527,0.01633
0,0.85569,0.01742
0,0.84611,0.0185
0,0.83653,0.01958
0,0.82696,0.02065
0,0.8174,0.0217
0,0.80783,0.02275
0,0.79826,0.02379
0,0.78871,0.02482
0,0.77916,0.02584
0,0.76961,0.02685
0,0.76008,0.02784
0,0.75054,0.02882
0,0.74101,0.02978
0,0.73148,0.03073
0,0.72196,0.03166
0,0.71243,0.03258
0,0.70291,0.03349
0,0.69339,0.03438
0,0.68388,0.03524
0,0.67436,0.0361
0,0.66484,0.03694
0,0.65532,0.03776
0,0.64581,0.03856
0,0.63629,0.03934
0,0.62677,0.04011
0,0.61725,0.04086
0,0.60774,0.0416
0,0.59822,0.04231
0,0.5887,0.04301
0,0.57918,0.04369
0,0.56965,0.04435
0,0.56013,0.04499
0,0.55061,0.04562
0,0.54108,0.04623
0,0.53155,0.04682
0,0.52202,0.04739
0,0.51249,0.04795
0,0.50295,0.04849
0,0.49342,0.04902
0,0.48389,0.04952
0,0.47437,0.05001
0,0.46485,0.05047
0,0.45533,0.05092
0,0.4458,0.05135
0,0.43627,0.05175
0,0.42673,0.05215
0,0.41719,0.05252
0,0.40765,0.05288
0,0.39813,0.05322
0,0.3886,0.05354
0,0.37908,0.05384
0,0.36956,0.05412
0,0.36004,0.05438
0,0.35054,0.05462
0,0.34103,0.05484
0,0.33153,0.05503
0,0.32203,0.0552
0,0.31254,0.05536
0,0.30306,0.05548
0,0.29361,0.05558
0,0.28416,0.05566
0,0.27473,0.0557
0,0.26532,0.05572
0,0.25594,0.0557
0,0.2466,0.05565
0,0.2373,0.05556
0,0.22803,0.05542
0,0.21879,0.05523
0,0.20959,0.05499
0,0.20041,0.0547
0,0.19126,0.05434
0,0.18214,0.05393
0,0.17303,0.05346
0,0.16396,0.05293
0,0.15493,0.05234
0,0.14595,0.05168
0,0.13705,0.05096
0,0.12825,0.05018
0,0.11958,0.04932
0,0.11106,0.04838
0,0.10272,0.04736
0,0.09459,0.04624
0,0.08671,0.04504
0,0.07912,0.04373
0,0.07186,0.04234
0,0.06498,0.04085
0,0.05851,0.03929
0,0.05248,0.03765
0,0.04691,0.03595
0,0.0418,0.0342
0,0.03714,0.0324
0,0.03291,0.03059
0,0.02909,0.02876
0,0.02564,0.02694
0,0.02254,0.02515
0,0.01976,0.0234
0,0.01727,0.0217
0,0.01504,0.02007
0,0.01304,0.0185
0,0.01124,0.01699
0,0.00963,0.01554
0,0.00818,0.01415
0,0.00688,0.01281
0,0.00571,0.01153
0,0.00466,0.01029
0,0.00372,0.00909
0,0.00289,0.00792
0,0.00217,0.00677
0,0.00154,0.00565
0,0.00102,0.00455
0,0.0006,0.00347
